id,SerialNo,Date,TTime,curveTag,Prefix,Catalogue,Pm,Isc,Voc(V),Ipm,Vpm(V),FF,Eff,I.Work,V.Work,Temp,RefTemp,Rs,Peak,Rsh
195,CRS25WT3609497,1/22/2026,2:30:44 AM,I->V,202,4,202.0397797,9.720110893,24.46591759,10.1047802,19.99447632,0.849579751,9.829227448,0,0,0.012901863,25,0.269142061,998.2746582,9999
196,CRS25WT3609496,1/22/2026,2:32:02 AM,I->V,204,4,204.3011627,9.781166077,24.4829998,10.13951874,20.14899826,0.853130698,9.93924427,0,0,0.006507927,25,0.259875655,997.9851685,9999
197,CRS25WT3609495,1/22/2026,2:32:53 AM,I->V,204,4,204.0362549,9.786281586,24.45690727,10.15198135,20.09816933,0.852487683,9.926356316,0,0,0.016507005,25,0.256841123,998.9035645,9999
198,CRS25WT3609485,1/22/2026,2:33:40 AM,I->V,200,4,200.3702545,9.585622787,24.45537567,9.951455116,20.13476753,0.854748964,9.748005867,0,0,0.002063376,25,0.265250772,997.7393188,9999
199,CRS25WT3609481,1/22/2026,2:34:46 AM,I->V,198,4,198.38591,9.595157623,24.45056152,9.854893684,20.13070107,0.845609546,9.651467323,0,0,0.016507007,25,0.25986889,997.9104614,9999
200,CRS25WT3609484,1/22/2026,2:35:38 AM,I->V,203,4,203.3785248,9.782238007,24.47113228,10.16036987,20.01684189,0.849596679,9.894357681,0,0,0.00287698,25,0.267725885,998.7490845,9999
201,CRS25WT3609483,1/22/2026,2:36:20 AM,I->V,198,4,198.7515869,9.639716148,24.42081451,9.925186157,20.02497482,0.844279468,9.669257164,0,0,0.006351687,25,0.264770687,998.0823975,9999
202,CRS25WT3609468,1/22/2026,2:36:53 AM,I->V,202,4,202.1303406,9.648802757,24.49399185,9.994464874,20.22422791,0.85526067,9.833633423,0,0,0.000813492,25,0.261851251,1000.633972,9999
203,CRS25WT3609467,1/22/2026,2:38:00 AM,I->V,200,4,200.707077,9.637925148,24.47956657,9.91711235,20.23846054,0.850697994,9.764391899,0,0,0.004126752,25,0.258227468,999.7921143,9999
204,CRS25WT3609466,1/22/2026,2:38:45 AM,I->V,204,4,204.9395599,9.906301498,24.48659325,10.1629982,20.16526413,0.844862223,9.970302582,0,0,0.008224245,25,0.256088614,998.2803955,9999
205,CRS25WT3609469,1/22/2026,2:39:22 AM,I->V,205,4,205.329483,9.881337166,24.52997589,10.17515373,20.17949677,0.84710741,9.989272118,0,0,0.00575396,25,0.266706645,998.5568237,9999
206,CRS25WT3609471,1/22/2026,2:40:06 AM,I->V,203,4,203.2976532,9.681160927,24.5111618,9.969000816,20.39298248,0.856724203,9.890423775,0,0,0.006028026,25,0.247051254,999.8612061,9999
207,CRS25WT3609472,1/22/2026,2:40:50 AM,I->V,200,4,200.3269348,9.598884583,24.50210381,9.904298782,20.22626114,0.851755977,9.745898247,0,0,0.01289698,25,0.25918445,998.6831055,9999
208,CRS25WT3609473,1/22/2026,2:42:53 AM,I->V,199,4,199.5029602,9.615695953,24.49199867,9.897388458,20.1571331,0.847118974,9.705811501,0,0,0.012703372,25,0.268101841,998.8126221,9999
209,CRS25WT3609465,1/22/2026,2:43:36 AM,I->V,200,4,200.2731934,9.626363754,24.45814323,9.973829269,20.07987022,0.850622892,9.743283272,0,0,0.005803726,25,0.261562407,998.09729,9999
210,CRS25WT3609040,1/22/2026,2:47:03AM,I->V,197,4,197.9872437,9.578520775,24.37790298,9.897066116,20.00464249,0.847895682,9.632072449,0,0,0.012896904,25,0.273090005,998.7878418,9999
